601 1000 11 Curtain_385 849.69 387 822 698445 28 4 2025 21 1 2027 
1001 17 First_Aid_Kit_992 620.08 66 966 598997 27 9 2025 12 10 2027 
1002 14 Fertilizer_816 280.56 171 876 245771 21 5 2025 21 10 2026 
1003 7 Desk_43 575.61 81 208 119727 31 5 2024 30 7 2026 
1004 9 Chair_558 525.61 90 542 284881 11 8 2025 13 6 2027 
1005 13 Newspaper_723 70.54 47 110 7759.4 10 2 2025 12 6 2027 
1006 10 Tissue_503 62.08 220 957 59410.6 10 7 2024 5 7 2027 
1007 8 Fish_850 875.93 219 0 0 7 5 2025 5 10 2027 
1008 6 RAM_31 197.09 421 412 81201.1 12 3 2025 31 12 2027 
1009 13 USB_Drive_692 328.69 422 298 97949.6 15 6 2025 17 4 2028 
1010 8 Eggs_290 767.28 59 245 187984 15 1 2025 1 1 2027 
1011 10 Candle_281 740.72 172 466 345176 7 4 2024 19 4 2026 
1012 10 Jacket_207 13.96 229 424 5919.04 20 3 2025 5 11 2027 
1013 9 Seeds_606 341.31 478 402 137207 2 8 2024 11 6 2026 
1014 9 Mouse_396 398.73 217 347 138359 21 10 2025 8 4 2028 
1015 17 First_Aid_Kit_258 568.54 450 870 494630 1 9 2025 29 11 2026 
1016 8 Desk_578 983.59 209 538 529171 21 7 2024 28 1 2027 
1017 6 CD_306 693.13 126 504 349338 19 8 2024 30 1 2026 
1018 8 Milk_663 597.75 466 824 492546 22 2 2024 31 12 2026 
1019 7 Hat_104 647.93 461 488 316190 9 10 2024 23 5 2026 
1020 9 Plant_493 773.9 443 560 433384 23 1 2025 20 6 2027 
1021 9 Bread_366 570.55 224 771 439894 30 1 2024 7 6 2026 
1022 10 Coffee_904 155.36 436 659 102382 12 11 2024 30 8 2027 
1023 10 Bleach_808 837.14 471 521 436150 19 3 2025 10 6 2027 
1024 8 Eggs_350 132.26 30 989 130805 13 9 2025 19 8 2027 
1025 11 Gym_Bag_887 74.99 1 609 45668.9 15 1 2025 23 12 2027 
1026 11 Stapler_406 985.13 138 363 357602 3 9 2025 16 8 2028 
1027 8 Beef_517 30.31 301 908 27521.5 10 6 2024 16 8 2026 
1028 7 Pot_543 291.93 250 385 112393 2 1 2024 20 6 2026 
1029 9 Pasta_867 506.35 129 994 503312 24 10 2025 15 5 2028 
1030 8 Sofa_836 238.17 322 64 15242.9 19 3 2025 28 7 2027 
1031 13 Detergent_519 624.57 106 376 234838 25 11 2024 28 8 2026 
1032 9 Shoes_821 7.33 484 649 4757.17 9 2 2025 27 5 2026 
1033 11 Bandage_806 128.51 148 306 39324.1 13 8 2025 7 8 2027 
1034 14 Fertilizer_560 957.49 270 380 363846 27 10 2025 30 5 2027 
1035 8 Milk_116 710.31 322 731 519237 25 10 2025 14 9 2028 
1036 16 Picture_Frame_63 574.78 296 681 391425 25 2 2025 17 7 2027 
1037 12 Suitcase_783 564.98 82 637 359892 28 10 2025 16 8 2027 
1038 8 Chair_23 758.29 71 795 602841 28 12 2023 11 4 2026 
1039 8 Milk_115 266.47 490 640 170541 12 8 2025 2 10 2026 
1040 12 Medicine_387 384.52 124 281 108050 8 12 2023 31 1 2025 
1041 11 Curtain_725 806.97 470 106 85538.8 5 3 2024 14 6 2025 
1042 8 Nuts_687 646.18 310 104 67202.7 26 4 2024 11 3 2027 
1043 9 Chair_389 460.07 77 291 133880 28 8 2024 6 9 2026 
1044 14 Smartphone_116 8.68 298 511 4435.48 2 10 2025 6 4 2027 
1045 16 Garden_Tools_887 124.14 33 728 90373.9 25 1 2024 24 6 2025 
1046 14 Headphones_306 91.88 461 487 44745.6 6 7 2025 20 12 2027 
1047 10 Butter_652 940.99 37 97 91276 7 9 2025 14 8 2028 
1048 10 Laptop_544 899.7 251 244 219527 11 3 2025 26 2 2027 
1049 9 Water_786 536.44 172 136 72955.8 6 4 2025 3 10 2026 
1050 10 Yogurt_410 677.6 330 166 112482 29 9 2025 26 4 2028 
1051 11 Curtain_110 937.23 439 578 541719 19 9 2025 16 12 2027 
1052 10 Coffee_762 731.67 105 864 632163 11 4 2024 25 10 2025 
1053 10 Pepper_904 968.56 432 681 659589 2 2 2024 11 5 2025 
1054 8 Decor_58 755.25 458 84 63441 28 7 2025 23 11 2026 
1055 11 Cookies_707 415.23 168 321 133289 30 9 2024 10 1 2027 
1056 7 Tape_90 823.02 4 632 520149 22 5 2025 9 7 2027 
1057 9 Decor_181 572.03 171 321 183622 2 8 2025 4 3 2027 
1058 9 Cable_438 329.88 288 181 59708.3 14 4 2025 10 1 2027 
1059 10 Coffee_711 745.86 96 194 144697 27 12 2023 14 8 2026 
1060 9 Jeans_817 846.24 217 820 693917 13 7 2024 12 6 2027 
1061 9 Towel_510 845.17 253 60 50710.2 31 12 2023 1 3 2025 
1062 12 Scissors_357 351.03 49 519 182185 3 8 2024 21 3 2026 
1063 8 Oats_443 567.16 412 944 535399 30 3 2025 31 8 2026 
1064 12 Medicine_313 961.94 60 73 70221.6 21 7 2024 16 7 2026 
1065 8 Sofa_736 542.12 384 579 313887 30 9 2025 8 1 2027 
1066 9 Plant_688 433.6 262 947 410619 31 12 2024 2 5 2027 
1067 11 Stapler_644 284.47 470 944 268540 2 8 2024 27 2 2026 
1068 12 Scissors_807 992.88 289 133 132053 5 2 2024 13 12 2026 
1069 17 Running_Shoes_989 825.39 160 201 165903 15 10 2025 14 6 2027 
1070 11 Monitor_443 704.25 294 716 504243 12 4 2025 27 10 2027 
1071 7 Desk_43 995.84 474 705 702067 5 10 2024 27 2 2027 
1072 10 Tablet_481 702.88 313 853 599557 19 2 2024 1 5 2025 
1073 10 Pepper_984 203.2 349 549 111557 26 9 2024 8 10 2026 
1074 8 Book_247 367.51 66 143 52553.9 25 8 2024 3 4 2027 
1075 8 Tape_734 446.74 371 481 214882 8 2 2025 10 5 2027 
1076 11 Gym_Bag_598 431.81 194 161 69521.4 29 5 2024 23 11 2026 
1077 9 Sauce_608 311.52 64 478 148907 1 12 2024 22 3 2026 
1078 14 Toothpaste_611 202.78 283 914 185341 12 4 2024 23 5 2026 
1079 5 RAM_4 732.18 373 366 267978 23 10 2024 22 4 2027 
1080 10 Bleach_159 605.14 24 152 91981.3 27 4 2025 28 3 2028 
1081 8 Soda_232 267.01 376 72 19224.7 28 4 2024 10 12 2025 
1082 13 Detergent_480 450.84 151 222 100086 29 10 2025 16 1 2028 
1083 16 Graphics_Card_66 101.23 334 512 51829.8 30 11 2024 16 9 2027 
1084 11 Medicine_35 148.39 117 792 117525 5 3 2025 20 9 2027 
1085 10 Sponge_190 463.53 406 362 167798 30 12 2024 15 9 2026 
1086 16 First_Aid_Kit_96 995.46 250 847 843155 10 1 2025 14 2 2026 
1087 8 Eggs_532 577.61 446 556 321151 14 5 2025 10 10 2027 
1088 15 Thermometer_209 295.93 286 363 107423 10 2 2025 8 6 2026 
1089 13 Sprinkler_458 797.93 117 304 242571 26 12 2023 19 1 2026 
1090 8 Ball_838 956.64 139 383 366393 5 2 2025 26 7 2027 
1091 10 Pencil_661 309.41 446 971 300437 1 9 2024 16 9 2025 
1092 10 Tablet_383 842.99 110 150 126448 19 6 2025 23 3 2028 
1093 13 Headphones_37 746.51 223 338 252320 7 3 2025 18 8 2026 
1094 11 Stapler_912 311.29 136 725 225685 14 3 2025 22 6 2027 
1095 15 Cooling_Fan_221 378.63 316 132 49979.2 9 10 2025 29 11 2026 
1096 11 Curtain_649 597.8 69 209 124940 17 10 2024 9 3 2026 
1097 17 Graphics_Card_677 241.13 489 182 43885.7 4 8 2025 12 6 2027 
1098 12 Notebook_813 32.41 415 264 8556.24 20 3 2024 5 12 2026 
1099 10 Bleach_486 38.76 129 903 35000.3 13 9 2025 6 10 2027 
1100 14 Fertilizer_167 490.07 244 859 420970 9 11 2024 23 3 2027 
1101 9 Juice_912 573.01 70 293 167892 25 8 2024 11 6 2026 
1102 7 Pot_140 301.45 237 828 249601 28 3 2024 3 2 2026 
1103 7 Pen_136 172.39 276 952 164115 27 1 2025 13 9 2026 
1104 13 USB_Drive_659 949.05 168 435 412837 30 12 2023 22 5 2026 
1105 10 Webcam_331 780.61 163 125 97576.2 13 5 2025 24 2 2027 
1106 9 Plant_472 761.92 365 17 12952.6 4 7 2025 7 1 2028 
1107 9 Shirt_657 759.97 165 701 532739 7 6 2025 8 3 2028 
1108 16 Power_Supply_231 897.39 410 405 363443 6 5 2025 21 4 2027 
1109 12 Yoga_Mat_245 626.23 147 229 143407 20 1 2024 20 6 2025 
1110 11 Gym_Bag_271 526.42 422 493 259525 31 12 2023 2 2 2026 
1111 9 Water_322 679.83 192 721 490157 28 7 2025 6 12 2026 
1112 11 Chicken_656 572.17 126 489 279791 14 4 2024 1 5 2025 
1113 7 Bag_759 487.57 437 590 287666 4 1 2025 30 11 2026 
1114 9 Pasta_409 887.62 441 947 840576 26 1 2025 13 11 2026 
1115 12 Medicine_282 502.58 458 47 23621.3 22 7 2025 31 5 2027 
1116 8 Soda_532 571.81 171 887 507195 1 2 2024 16 6 2025 
1117 17 Graphics_Card_618 70.13 377 656 46005.3 19 6 2025 5 11 2027 
1118 10 Butter_253 905.1 353 704 637190 2 9 2025 9 3 2028 
1119 8 Rice_751 351.96 118 338 118962 6 4 2025 20 6 2026 
1120 9 Clock_975 774.51 485 51 39500 14 2 2024 16 12 2026 
1121 9 Towel_561 108.85 130 660 71841 16 7 2024 10 7 2026 
1122 10 Cereal_429 71.33 447 928 66194.2 21 2 2025 30 6 2027 
1123 10 Laptop_507 396.12 287 992 392951 13 4 2024 19 1 2027 
1124 8 Glue_467 99.11 183 605 59961.6 20 12 2024 19 7 2026 
1125 10 Tablet_546 456.01 70 655 298687 12 2 2025 17 11 2026 
1126 14 Toothpaste_578 625.04 10 356 222514 27 11 2024 7 5 2027 
1127 13 Detergent_888 244.72 124 547 133862 26 4 2024 18 11 2025 
1128 7 Glue_60 913.7 79 129 117867 31 10 2025 22 5 2028 
1129 11 Monitor_447 963.47 306 995 958653 18 12 2023 27 4 2026 
1130 14 Headphones_676 624.34 313 538 335895 14 3 2025 7 7 2026 
1131 9 Flour_390 523.79 114 680 356177 10 9 2025 27 4 2028 
1132 17 First_Aid_Kit_299 466.13 205 495 230734 27 12 2024 21 8 2026 
1133 7 Pot_599 908.58 444 32 29074.6 11 7 2025 11 9 2027 
1134 12 Backpack_393 432 45 787 339984 30 8 2024 30 12 2026 
1135 15 Thermometer_936 972.64 437 30 29179.2 4 2 2024 22 10 2026 
1136 12 Scissors_637 45.7 10 377 17228.9 30 7 2024 25 2 2027 
1137 7 RAM_323 941.26 118 621 584522 28 3 2024 6 5 2025 
1138 8 Glue_320 980.78 214 472 462928 13 4 2024 27 7 2025 
1139 9 Chair_666 332.12 175 374 124213 24 5 2024 25 3 2026 
1140 12 Mattress_531 540.19 408 644 347882 29 9 2024 16 12 2025 
1141 8 Ball_461 337.85 396 859 290213 28 12 2024 1 10 2026 
1142 7 DVD_624 445.84 45 817 364251 3 10 2025 4 12 2027 
1143 10 Puzzle_551 981.73 401 68 66757.6 19 5 2025 22 11 2026 
1144 8 Eggs_774 466.68 181 670 312676 11 7 2025 15 12 2027 
1145 8 Book_562 646.82 243 552 357045 25 11 2024 1 1 2026 
1146 10 Pepper_561 927.87 23 635 589197 27 12 2024 8 7 2027 
1147 9 Sauce_516 841.19 300 75 63089.2 25 7 2025 6 10 2027 
1148 9 Clock_156 280.21 478 319 89387 21 4 2025 31 10 2026 
